País;Nivel Educación;Ítem;Valor;Dimension_ISDE;Dimension_Nombre
BG;Bachillerato;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
BG;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
BG;Bachillerato;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
BG;Bachillerato;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
BG;Bachillerato;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
BG;Bachillerato;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
BG;Bachillerato;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BG;Bachillerato;Transversal (cross-curricular);No;D3;Pedagogía Digital / Uso Pedagógico TIC
BG;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BG;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
BG;Bachillerato;Informática como asignatura separada y obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
BG;Bachillerato;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
BG;Bachillerato;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
BG;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
CY;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
CY;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
CY;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
CY;ESO;Designación de coordinador/a digital en los centros;Si;D4;Liderazgo y Política Institucional
CY;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
CY;ESO;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
CY;ESO;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
CY;ESO;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
CY;ESO;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
CY;ESO;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
CY;ESO;Transversal (cross-curricular);No;D3;Pedagogía Digital / Uso Pedagógico TIC
CY;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
CY;ESO;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
CY;ESO;Informática como asignatura separada y obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
CY;ESO;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
CY;ESO;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
CY;ESO;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
CY;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
CY;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
CY;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
CY;Bachillerato;Designación de coordinador/a digital en los centros;Si;D4;Liderazgo y Política Institucional
CY;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
CY;Bachillerato;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
CY;Bachillerato;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
CY;Bachillerato;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
CY;Bachillerato;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
CY;Bachillerato;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
CY;Bachillerato;Transversal (cross-curricular);No;D3;Pedagogía Digital / Uso Pedagógico TIC
CY;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
CY;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
CY;Bachillerato;Informática como asignatura separada y obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
